name	x	y	z	impedance
Fp1	-0.029356614465620007	0.09035036904803959	5.817072295949927e-18	8.0
F3	-0.05177570734802804	0.0639376737816708	0.04750000000000001	8.0
F7	-0.07685661446562002	0.055839598967784954	5.817072295949927e-18	15.0
FT9	-0.08316795321993958	0.02702290609653533	-0.03711945720648101	17.0
FC5	-0.08279937921017623	0.03178370380204577	0.034044955206803534	17.0
FC1	-0.03398867343492894	0.03519630166739715	0.08143089356670068	13.0
C3	-0.067175144212722	-0.0	0.06717514421272201	13.0
T7	-0.095	-0.0	5.817072295949927e-18	28.0
TP9	-0.08316795321993958	-0.02702290609653533	-0.03711945720648101	30.0
CP5	-0.08279937921017623	-0.03178370380204577	0.034044955206803534	15.0
CP1	-0.03398867343492894	-0.03519630166739715	0.08143089356670068	23.0
Pz	4.1132912671185924e-18	-0.067175144212722	0.06717514421272201	19.0
P3	-0.05177570734802804	-0.0639376737816708	0.04750000000000001	16.0
P7	-0.07685661446562002	-0.055839598967784954	5.817072295949927e-18	20.0
O1	-0.029356614465620007	-0.09035036904803959	5.817072295949927e-18	18.0
Oz	5.817072295949927e-18	-0.095	5.817072295949927e-18	5.0
O2	0.029356614465620007	-0.09035036904803959	5.817072295949927e-18	20.0
P4	0.05177570734802804	-0.0639376737816708	0.04750000000000001	15.0
P8	0.07685661446562002	-0.055839598967784954	5.817072295949927e-18	8.0
TP10	0.08316795321993958	-0.02702290609653533	-0.03711945720648101	19.0
CP6	0.08279937921017623	-0.03178370380204577	0.034044955206803534	14.0
CP2	0.03398867343492894	-0.03519630166739715	0.08143089356670068	15.0
Cz	0.0	0.0	0.095	21.0
C4	0.067175144212722	0.0	0.06717514421272201	17.0
T8	0.095	0.0	5.817072295949927e-18	19.0
FT10	0.08316795321993958	0.02702290609653533	-0.03711945720648101	23.0
FC6	0.08279937921017623	0.03178370380204577	0.034044955206803534	18.0
FC2	0.03398867343492894	0.03519630166739715	0.08143089356670068	12.0
F4	0.05177570734802804	0.0639376737816708	0.04750000000000001	6.0
F8	0.07685661446562002	0.055839598967784954	5.817072295949927e-18	17.0
Fp2	0.029356614465620007	0.09035036904803959	5.817072295949927e-18	12.0
AF7	-0.055839598967784954	0.07685661446562002	5.817072295949927e-18	21.0
AF3	-0.03420902208318231	0.08467030082631229	0.026185548802614922	5.0
AFz	5.354643281305639e-18	0.08744796107798183	0.037119457206481	11.0
F1	-0.026858322562232525	0.06647668107859603	0.06232560775409819	14.0
F5	-0.06891997404745466	0.059911219410090866	0.026185548802614922	14.0
FT7	-0.09035036904803959	0.02935661446562	5.817072295949927e-18	21.0
FC3	-0.06270796784282504	0.034759594173487084	0.06232560775409819	11.0
FCz	2.272911222700206e-18	0.03711945720648101	0.08744796107798183	20.0
C1	-0.03711945720648101	-0.0	0.08744796107798183	11.0
C5	-0.0880824661838448	-0.0	0.035587626374511634	22.0
TP7	-0.09035036904803959	-0.02935661446562	5.817072295949927e-18	21.0
CP3	-0.06270796784282504	-0.034759594173487084	0.06232560775409819	12.0
P1	-0.026858322562232525	-0.06647668107859603	0.06232560775409819	14.0
P5	-0.06891997404745466	-0.059911219410090866	0.026185548802614922	5.0
PO7	-0.055839598967784954	-0.07685661446562002	5.817072295949927e-18	9.0
PO3	-0.03420902208318231	-0.08467030082631229	0.026185548802614922	23.0
POz	5.354643281305639e-18	-0.08744796107798183	0.037119457206481	20.0
PO4	0.03420902208318231	-0.08467030082631229	0.026185548802614922	22.0
PO8	0.055839598967784954	-0.07685661446562002	5.817072295949927e-18	21.0
P6	0.06891997404745466	-0.059911219410090866	0.026185548802614922	15.0
P2	0.026858322562232525	-0.06647668107859603	0.06232560775409819	12.0
CPz	2.1791136364398805e-18	-0.03558762637451164	0.0880824661838448	11.0
CP4	0.06270796784282504	-0.034759594173487084	0.06232560775409819	13.0
TP8	0.09035036904803959	-0.02935661446562	5.817072295949927e-18	8.0
C6	0.0880824661838448	0.0	0.035587626374511634	11.0
C2	0.03711945720648101	0.0	0.08744796107798183	29.0
FC4	0.06270796784282504	0.034759594173487084	0.06232560775409819	7.0
FT8	0.09035036904803959	0.02935661446562	5.817072295949927e-18	18.0
F6	0.06891997404745466	0.059911219410090866	0.026185548802614922	25.0
F2	0.026858322562232525	0.06647668107859603	0.06232560775409819	13.0
AF4	0.03420902208318231	0.08467030082631229	0.026185548802614922	3.0
AF8	0.055839598967784954	0.07685661446562002	5.817072295949927e-18	11.0
